GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wmm-api-movements-application,com.wmm.movements.application.ports.input,ListMovementTypeUseCaseInputPort,0,15,0,0,0,2,0,2,0,2
wmm-api-movements-application,com.wmm.movements.application.ports.input,DeleteMovementInputAdapter,0,11,0,0,0,3,0,2,0,2
wmm-api-movements-application,com.wmm.movements.application.ports.input,ListMovementInputPort,0,19,0,0,0,4,0,4,0,4
wmm-api-movements-application,com.wmm.movements.application.ports.input,SaveTagInputPort,0,11,0,0,0,2,0,2,0,2
wmm-api-movements-application,com.wmm.movements.application.ports.input,CudMovementInputPort,5,34,0,2,2,6,1,4,1,3
wmm-api-movements-application,com.wmm.movements.application.exceptions,UserCanNotCarryOutThisOperation,0,4,0,0,0,2,0,1,0,1
wmm-api-movements-application,com.wmm.movements.application.businessrules,NewMovementValidation,0,89,5,17,0,14,5,8,0,2
